name,state,district
A.P. University of Law,Andhra Pradesh,Visakhapatnam
Acharya N. G. Ranga Agricultural University,Andhra Pradesh,Hyderabad
Acharya Nagarjuna University,Andhra Pradesh,Guntur
Adikavi Nannaya University,Andhra Pradesh,Rajahmundry
Andhra Pradesh Open University,Andhra Pradesh,Hyderabad
Andhra University,Andhra Pradesh,Visakhapatnam
"Dr. B.R. Ambedkar University, Srikakulam",Andhra Pradesh,Etcherla
"Dr. Nandamuri Taraka Rama Rao University of Health Sciences, Andhra Pradesh",Andhra Pradesh,Vijayawada
Dravidian University,Andhra Pradesh,Kuppam
Jawaharlal Nehru Architecture and Fine Arts University,Andhra Pradesh,Hyderabad
"Jawaharlal Nehru Technological University, Anantapur",Andhra Pradesh,Anantapur
"Jawaharlal Nehru Technological University, Hyderabad",Andhra Pradesh,Hyderabad
"Jawaharlal Nehru Technological University, Kakinada",Andhra Pradesh,Kakinada
Kakatiya University,Andhra Pradesh,Warangal
Krishna University,Andhra Pradesh,Machilipatnam
"Mahatma Gandhi University, Nalgonda",Andhra Pradesh,Nalgonda
National Academy of Legal Studies and Research,Andhra Pradesh,Hyderabad
Osmania University,Andhra Pradesh,Hyderabad
Palamuru University,Andhra Pradesh,Mahabubnagar
Potti Sreeramulu Telugu University,Andhra Pradesh,Hyderabad
Rajiv Gandhi University of Knowledge Technologies,Andhra Pradesh,Hyderabad
Rayalaseema University,Andhra Pradesh,Kurnool
Satavahana University,Andhra Pradesh,Karimnagar
Sri Krishnadevaraya University,Andhra Pradesh,Anantapur
Sri Padmavati Mahila Visvavidyalayam,Andhra Pradesh,Tirupati
Sri Venkateswara Institute of Medical Sciences,Andhra Pradesh,Tirupati
Sri Venkateswara University,Andhra Pradesh,Tirupati
Sri Venkateswara Vedic University,Andhra Pradesh,Tirupati
Sri Venkateswara Veterinary University,Andhra Pradesh,Tirupati
Telangana University,Andhra Pradesh,Nizamabad
Vikrama Simhapuri University,Andhra Pradesh,Nellore
Yogi Vemana University,Andhra Pradesh,Kadapa
Assam Agricultural University,Assam,Jorhat
Dibrugarh University,Assam,Dibrugarh
Gauhati University,Assam,Guwahati
Krishna Kanta Handique State Open University,Assam,Guwahati
Aryabhatta Knowledge University,Bihar,Patna
B. R. Ambedkar Bihar University,Bihar,Muzzafarpur
Bhupendra Narayan Mandal University,Bihar,Madhepura
Chanakya National Law University,Bihar,Patna
Jai Prakash University,Bihar,Chhapra
Kameshwar Singh Darbhanga Sanskrit University,Bihar,Darbhanga
Lalit Narayan Mithila University,Bihar,Darbhanga
Magadh University,Bihar,"Gaya, India"
Maulana Mazharul Haque Arabic and Persian University,Bihar,Patna
Nalanda Open University,Bihar,Patna
Patna University,Bihar,Patna
Rajendra Agricultural University,Bihar,Pusa
Tilka Manjhi Bhagalpur University,Bihar,Bhagalpur
Veer Kunwar Singh University,Bihar,Arrah
"Panjab University, Chandigarh",Chandigarh,Chandigarh
Ayush and Health Sciences University of Chhattisgarh,Chhattisgarh,Raipur
Bastar University,Chhattisgarh,Jagdalpur
Chhattisgarh Swami Vivekanand Technical University,Chhattisgarh,Bhilai
Hidayatullah National Law University,Chhattisgarh,Raipur
Indira Gandhi Agricultural University,Chhattisgarh,Raipur
Indira Kala Sangeet University,Chhattisgarh,Khairagarh
Kushabhau Thakre Patrakarita Avam Jansanchar University,Chhattisgarh,Raipur
Pandit Ravishankar Shukla University,Chhattisgarh,Raipur
Pandit Sundarlal Sharma (Open) University,Chhattisgarh,Bilaspur
Sarguja University,Chhattisgarh,Ambikapur
Bharat Ratna Dr. B. R. Ambedkar University,Delhi,New Delhi
Delhi Technological University,Delhi,Delhi
Guru Gobind Singh Indraprastha University,Delhi,Delhi
Indraprastha Institute of Information Technology,Delhi,New Delhi
"National Law University, Delhi",Delhi,New Delhi
Goa University,Goa,Goa
Anand Agricultural University,Gujarat,Anand
Maharaja Krishnakumarsinhji Bhavnagar University,Gujarat,Bhavnagar
"Rai University, Ahmedabad",Gujarat,Ahmedabad
Centre for Environmental and Planning Technology University,Gujarat,Ahmedabad
Dharamsinh Desai University,Gujarat,Nadiad
Dr. Babasaheb Ambedkar Open University,Gujarat,Ahmedabad
Gujarat Ayurved University,Gujarat,Jamnagar
Gujarat Forensic Sciences University,Gujarat,Gandhinagar
Gujarat National Law University,Gujarat,Gandhinagar
Gujarat Technological University,Gujarat,Ahmedabad
Gujarat University,Gujarat,Ahmedabad
Hemchandracharya North Gujarat University,Gujarat,Patan
Krantiguru Shyamji Krishna Verma Kachchh University,Gujarat,Bhuj
Maharaja Sayajirao University of Baroda,Gujarat,Vadodara
Sardar Patel University,Gujarat,Vallabh Vidhyanagar
Sardarkrushinagar Dantiwada Agricultural University,Gujarat,Palanpur
Saurashtra University,Gujarat,Rajkot
Shree Somnath Sanskrit University,Gujarat,Veraval
Veer Narmad South Gujarat University,Gujarat,Surat
Bhagat Phool Singh Mahila Vishwavidyalaya,Haryana,Sonipat
Chaudhary Charan Singh Haryana Agricultural University,Haryana,Hisar
Chaudhary Devi Lal University,Haryana,Sirsa
Deenbandhu Chhotu Ram University of Science and Technology,Haryana,Murthal
Guru Jambheshwar University of Science and Technology,Haryana,Hisar
Kurukshetra University,Haryana,Kurukshetra
Lala Lajpat Rai University of Veterinary and Animal Sciences,Haryana,Hisar
Maharishi Dayanand University,Haryana,Rohtak
Pandit Bhagwat Dayal Sharma University of Health Sciences,Haryana,Rohtak
YMCA University of Science and Technology,Haryana,Faridabad
